team,display,group,matches,wins,draws,losses,win_pct,gf,ga,gd,ppg,first_match,last_match
Algeria,Algeria,J,55,38,12,5,69.1,114,39,75,2.29,2022-06-08,2026-06-03
Argentina,Argentina,J,48,38,5,5,79.2,108,22,86,2.48,2022-09-23,2026-06-06
Australia,Australia,D,46,27,8,11,58.7,79,35,44,1.93,2022-06-07,2026-06-06
Austria,Austria,J,43,26,8,9,60.5,87,38,49,2.0,2022-06-10,2026-06-01
Belgium,Belgium,G,47,25,12,10,53.2,99,40,59,1.85,2022-06-08,2026-06-06
Bosnia and Herzegovina,Bosnia & Herzegovina,B,38,12,9,17,31.6,46,63,-17,1.18,2022-06-07,2026-06-06
Brazil,Brazil,C,44,22,11,11,50.0,82,46,36,1.75,2022-09-23,2026-06-06
Canada,Canada,B,52,22,17,13,42.3,75,55,20,1.6,2022-06-09,2026-06-05
Cape Verde,Cape Verde,H,43,19,12,12,44.2,53,44,9,1.6,2022-06-07,2026-06-06
Colombia,Colombia,K,44,26,11,7,59.1,85,39,46,2.02,2022-09-24,2026-06-01
Croatia,Croatia,L,48,27,12,9,56.2,84,44,40,1.94,2022-06-10,2026-06-02
Curaçao,Curaçao,E,37,13,10,14,35.1,63,52,11,1.32,2022-06-09,2026-06-06
Czech Republic,Czechia,A,43,21,11,11,48.8,80,52,28,1.72,2022-06-09,2026-06-04
DR Congo,DR Congo,K,47,24,13,10,51.1,57,27,30,1.81,2022-06-08,2026-06-03
Ecuador,Ecuador,E,45,19,19,7,42.2,46,27,19,1.69,2022-06-11,2026-05-30
Egypt,Egypt,G,52,29,15,8,55.8,86,42,44,1.96,2022-06-09,2026-06-06
England,England,L,50,30,11,9,60.0,100,36,64,2.02,2022-06-07,2026-06-06
France,France,I,50,31,9,10,62.0,105,46,59,2.04,2022-06-10,2026-06-04
Germany,Germany,E,49,26,11,12,53.1,103,61,42,1.82,2022-06-07,2026-06-06
Ghana,Ghana,L,44,15,11,18,34.1,56,59,-3,1.27,2022-06-10,2026-06-02
Haiti,Haiti,C,37,20,8,9,54.1,91,43,48,1.84,2022-06-07,2026-06-05
Iran,Iran,G,47,30,9,8,63.8,96,41,55,2.11,2022-06-12,2026-06-04
Iraq,Iraq,I,52,28,12,12,53.8,72,48,24,1.85,2022-09-23,2026-06-04
Ivory Coast,Ivory Coast,E,49,31,9,9,63.3,91,34,57,2.08,2022-06-09,2026-06-04
Japan,Japan,F,50,34,8,8,68.0,132,36,96,2.2,2022-06-10,2026-05-31
Jordan,Jordan,J,56,27,12,17,48.2,96,70,26,1.66,2022-06-08,2026-05-31
Mexico,Mexico,A,67,34,17,16,50.7,102,63,39,1.78,2022-06-11,2026-06-04
Morocco,Morocco,C,62,46,12,4,74.2,124,24,100,2.42,2022-06-09,2026-06-02
Netherlands,Netherlands,F,49,28,12,9,57.1,112,51,61,1.96,2022-06-08,2026-06-03
New Zealand,New Zealand,G,37,13,7,17,35.1,63,41,22,1.24,2022-06-09,2026-06-06
Norway,Norway,I,39,22,8,9,56.4,93,42,51,1.9,2022-06-09,2026-06-01
Panama,Panama,L,63,30,16,17,47.6,101,80,21,1.68,2022-06-09,2026-06-06
Paraguay,Paraguay,D,39,14,11,14,35.9,37,38,-1,1.36,2022-06-10,2026-06-05
Portugal,Portugal,K,49,33,7,9,67.3,122,40,82,2.16,2022-06-09,2026-06-06
Qatar,Qatar,B,59,23,15,21,39.0,83,83,0,1.42,2022-09-23,2026-06-06
Saudi Arabia,Saudi Arabia,H,68,26,17,25,38.2,75,70,5,1.4,2022-06-09,2026-06-05
Scotland,Scotland,C,44,20,7,17,45.5,71,60,11,1.52,2022-06-08,2026-06-06
Senegal,Senegal,I,54,35,12,7,64.8,104,39,65,2.17,2022-06-07,2026-05-31
South Africa,South Africa,A,57,26,23,8,45.6,83,47,36,1.77,2022-06-09,2026-06-06
South Korea,South Korea,A,53,29,15,9,54.7,103,52,51,1.92,2022-06-10,2026-06-03
Spain,Spain,H,49,34,11,4,69.4,122,39,83,2.31,2022-06-09,2026-06-04
Sweden,Sweden,F,43,21,6,16,48.8,82,65,17,1.6,2022-06-09,2026-06-04
Switzerland,Switzerland,B,48,21,17,10,43.8,86,56,30,1.67,2022-06-09,2026-06-06
Tunisia,Tunisia,F,54,27,15,12,50.0,73,42,31,1.78,2022-06-10,2026-06-06
Turkey,Türkiye,D,46,28,7,11,60.9,89,59,30,1.98,2022-06-07,2026-06-06
United States,USA,D,62,29,13,20,46.8,114,71,43,1.61,2022-06-10,2026-06-06
Uruguay,Uruguay,H,45,19,17,9,42.2,63,33,30,1.64,2022-06-11,2026-03-31
Uzbekistan,Uzbekistan,K,48,27,15,6,56.2,78,33,45,2.0,2022-06-08,2026-06-01
